kind,metric,thing,ts,val
network,events,Parsely,2017-07-10 20:55:00,824810
network,events,Parsely,2017-07-10 21:55:00,793674
network,events,Parsely,2017-07-10 15:30:00,787391
network,events,Parsely,2017-07-10 14:45:00,754271
network,events,Parsely,2017-07-10 18:20:00,802337
network,events,Parsely,2017-07-10 21:50:00,813913
network,events,Parsely,2017-07-10 14:40:00,740912
network,events,Parsely,2017-07-10 21:05:00,806095
network,events,Parsely,2017-07-10 13:20:00,655566
network,events,Parsely,2017-07-10 02:25:00,689752
network,events,Parsely,2017-07-10 20:15:00,876257
network,events,Parsely,2017-07-10 13:25:00,667650
network,events,Parsely,2017-07-10 02:20:00,694256
network,events,Parsely,2017-07-10 01:40:00,671675
network,events,Parsely,2017-07-10 12:55:00,618761
network,events,Parsely,2017-07-10 06:15:00,327876
network,events,Parsely,2017-07-10 01:45:00,714692
network,events,Parsely,2017-07-10 06:10:00,331571
network,events,Parsely,2017-07-10 12:50:00,622165
